iter	RMSE
0	1734.476367
1	1732.892578
2	1731.241593
3	1729.472562
4	1727.698908
5	1725.977949
6	1724.312163
7	1722.452076
8	1720.812434
9	1718.986647
10	1717.447636
11	1715.590541
12	1713.99513
13	1712.287792
14	1710.680476
15	1709.024305
16	1707.286636
17	1705.676499
18	1703.923879
19	1702.333219
20	1700.790178
21	1699.257589
22	1697.533521
23	1695.856114
24	1694.111992
25	1692.530538
26	1690.8373
27	1689.145641
28	1687.452974
29	1685.94124
30	1684.299291
31	1682.743308
32	1681.094503
33	1679.479748
34	1677.921864
35	1676.245818
36	1674.702439
37	1673.177758
38	1671.494389
39	1670.005241
40	1668.320053
41	1666.823582
42	1665.156314
43	1663.688177
44	1662.107706
45	1660.721988
46	1659.282193
47	1657.640275
48	1656.116376
49	1654.502313
50	1653.021841
51	1651.44436
52	1650.036548
53	1648.461976
54	1647.015691
55	1645.562546
56	1644.067803
57	1642.583074
58	1640.983272
59	1639.444793
60	1637.930441
61	1636.48772
62	1634.968133
63	1633.413684
64	1631.838296
65	1630.312089
66	1628.814103
67	1627.293135
68	1626.028775
69	1624.558342
70	1622.962084
71	1621.550392
72	1620.008916
73	1618.432946
74	1617.185622
75	1615.776685
76	1614.337246
77	1613.112267
78	1611.647395
79	1610.251532
80	1608.931996
81	1607.547292
82	1606.13983
83	1604.820703
84	1603.318475
85	1601.943396
86	1600.587506
87	1599.127411
88	1597.640271
89	1596.340052
90	1594.860295
91	1593.560016
92	1592.271714
93	1590.739486
94	1589.306563
95	1587.914281
96	1586.593223
97	1585.087837
98	1583.686117
99	1582.346102
100	1581.005002
101	1579.527046
102	1578.247702
103	1576.800753
104	1575.416482
105	1574.101099
106	1572.683993
107	1571.422744
108	1570.131769
109	1568.769754
110	1567.476693
111	1566.225249
112	1564.84512
113	1563.535332
114	1562.067275
115	1560.683803
116	1559.393201
117	1558.120002
118	1556.779053
119	1555.506718
120	1554.351415
121	1553.04642
122	1551.736215
123	1550.443672
124	1549.204605
125	1547.850422
126	1546.565763
127	1545.314919
128	1543.990371
129	1542.679908
130	1541.43085
131	1540.076874
132	1538.754198
133	1537.588385
134	1536.254224
135	1534.895963
136	1533.697476
137	1532.534892
138	1531.344769
139	1530.172812
140	1528.914451
141	1527.59319
142	1526.288272
143	1525.175367
144	1524.036557
145	1522.774865
146	1521.540378
147	1520.242963
148	1518.9783
149	1517.779174
150	1516.723363
151	1515.580481
152	1514.350921
153	1513.036071
154	1511.924747
155	1510.646747
156	1509.435629
157	1508.169208
158	1507.019508
159	1505.773579
160	1504.624449
161	1503.553578
162	1502.240937
163	1501.01404
164	1499.863864
165	1498.643562
166	1497.476128
167	1496.371015
168	1495.185678
169	1493.952397
170	1492.75028
171	1491.515352
172	1490.249638
173	1489.089604
174	1487.998752
175	1486.935241
176	1485.85791
177	1484.663633
178	1483.505357
179	1482.263499
180	1481.062398
181	1479.963542
182	1478.777588
183	1477.736706
184	1476.618494
185	1475.443512
186	1474.425174
187	1473.412167
188	1472.432341
189	1471.339852
190	1470.197542
191	1469.033309
192	1467.941929
193	1466.867085
194	1465.867017
195	1464.7493
196	1463.704756
