iter	RMSE
0	1717.835315
1	1716.01207
2	1714.188608
3	1712.260036
4	1710.360332
5	1708.542989
6	1706.660489
7	1704.862936
8	1702.953647
9	1701.0996
10	1699.257209
11	1697.426432
12	1695.568029
13	1693.700757
14	1691.843362
15	1689.975741
16	1688.196768
17	1686.563963
18	1684.731132
19	1682.921174
20	1681.089671
21	1679.457443
22	1677.838601
23	1676.003994
24	1674.408877
25	1672.627506
26	1670.910483
27	1669.096291
28	1667.333018
29	1665.595451
30	1663.84521
31	1662.142698
32	1660.398119
33	1658.655985
34	1656.88826
35	1655.217931
36	1653.464769
37	1651.719168
38	1649.961482
39	1648.32276
40	1646.673231
41	1644.93841
42	1643.239481
43	1641.623958
44	1639.899719
45	1638.192437
46	1636.556013
47	1634.866544
48	1633.155828
49	1631.568185
50	1629.867917
51	1628.25372
52	1626.660924
53	1625.058395
54	1623.367156
55	1621.79731
56	1620.222573
57	1618.575382
58	1617.013238
59	1615.364699
60	1613.780898
61	1612.163818
62	1610.559265
63	1609.018226
64	1607.467274
65	1605.87417
66	1604.448234
67	1602.92783
68	1601.310679
69	1599.71466
70	1598.214686
71	1596.694246
72	1595.110067
73	1593.521632
74	1591.958905
75	1590.494148
76	1588.91855
77	1587.36703
78	1585.902459
79	1584.331337
80	1582.841933
81	1581.32856
82	1579.787767
83	1578.341275
84	1576.863397
85	1575.368015
86	1574.021646
87	1572.489927
88	1571.026056
89	1569.530397
90	1568.01466
91	1566.588824
92	1565.128025
93	1563.599589
94	1562.243255
95	1560.7487
96	1559.242593
97	1557.945777
98	1556.515974
99	1555.187459
100	1553.722053
101	1552.33871
102	1550.939391
103	1549.442098
104	1548.06746
105	1546.592161
106	1545.136883
107	1543.73926
108	1542.318226
109	1540.863804
110	1539.433686
111	1538.176345
112	1536.770749
113	1535.429582
114	1534.083185
115	1532.66992
116	1531.365041
117	1529.945414
118	1528.601861
119	1527.271178
120	1525.847586
121	1524.504954
122	1523.139953
123	1521.801311
124	1520.458308
125	1519.089113
126	1517.706108
127	1516.413337
128	1515.131494
129	1513.786577
130	1512.399402
131	1511.061738
132	1509.777583
133	1508.438527
134	1507.071176
135	1505.783149
136	1504.51636
137	1503.23224
138	1501.973142
139	1500.647316
140	1499.391426
141	1498.179735
142	1496.841429
143	1495.519573
144	1494.290571
145	1493.072216
146	1491.850555
147	1490.55838
148	1489.254602
149	1487.991789
150	1486.800968
151	1485.573084
152	1484.363445
153	1483.207977
154	1482.013577
155	1480.835459
156	1479.63187
157	1478.371516
158	1477.106503
159	1475.845538
160	1474.591507
161	1473.410746
162	1472.21042
163	1470.957329
164	1469.82084
165	1468.571247
166	1467.337781
167	1466.115052
168	1464.869087
169	1463.684555
170	1462.492884
171	1461.283185
172	1460.121695
