iter	Passed	Remaining
0	2	6968
1	4	6708
2	6	6693
3	8	6653
4	10	6542
5	13	6503
6	15	6457
7	17	6434
8	19	6394
9	21	6373
10	23	6396
11	25	6393
12	27	6386
13	29	6368
14	31	6353
15	34	6347
16	36	6342
17	38	6357
18	40	6359
19	42	6357
20	44	6346
21	46	6332
22	48	6325
23	50	6318
24	53	6319
25	55	6333
26	57	6327
27	59	6323
28	61	6316
29	63	6311
30	65	6303
31	67	6291
32	69	6286
33	72	6290
34	74	6282
35	76	6273
36	78	6262
37	80	6254
38	82	6256
39	84	6261
40	86	6230
41	88	6222
42	90	6216
43	92	6213
44	94	6204
45	96	6204
46	98	6203
47	100	6197
48	102	6171
49	104	6166
50	106	6159
51	108	6158
52	110	6154
53	112	6131
54	114	6129
55	116	6124
56	118	6124
57	120	6118
58	122	6113
59	124	6108
60	126	6103
61	128	6107
62	130	6103
63	132	6097
64	135	6097
65	137	6099
66	139	6092
67	141	6088
68	143	6085
69	145	6083
70	146	6060
71	148	6056
72	151	6058
73	153	6055
74	155	6055
75	156	6034
76	158	6016
77	160	5996
78	162	5996
79	164	5994
80	166	5990
81	168	5992
82	170	5991
83	172	5987
84	174	5983
85	176	5980
86	178	5980
87	180	5979
88	182	5981
89	185	5983
90	187	5983
91	189	5981
92	191	5977
93	193	5974
94	195	5974
95	197	5972
96	199	5976
97	201	5974
98	203	5973
99	205	5970
100	207	5969
101	210	5970
102	212	5976
103	214	5979
104	216	5977
105	218	5972
106	220	5969
107	222	5966
108	224	5963
109	226	5961
110	228	5959
111	231	5960
112	232	5947
113	234	5943
114	236	5941
115	238	5937
116	240	5935
117	242	5932
118	244	5921
119	246	5922
120	248	5922
121	250	5919
122	253	5918
123	255	5917
124	257	5914
125	259	5912
126	261	5921
127	264	5942
128	266	5939
129	268	5936
130	270	5934
131	273	5931
132	275	5931
133	276	5919
134	279	5930
135	281	5932
136	283	5931
137	285	5928
138	287	5925
139	289	5922
140	291	5919
141	293	5917
142	295	5909
143	297	5905
144	299	5903
145	301	5900
146	303	5897
147	305	5896
148	308	5895
149	310	5892
150	312	5894
151	314	5891
152	316	5882
153	318	5879
154	320	5877
155	322	5874
156	324	5878
157	326	5878
158	328	5869
159	330	5868
160	332	5866
161	334	5864
162	336	5861
163	338	5851
164	340	5848
165	342	5846
166	344	5846
167	346	5845
168	348	5842
169	350	5840
170	352	5838
171	354	5836
172	357	5833
173	359	5833
174	361	5833
175	363	5830
176	365	5826
177	367	5823
178	369	5822
179	371	5820
180	373	5817
181	375	5817
182	377	5815
183	379	5812
184	381	5810
185	383	5807
186	385	5805
187	387	5803
188	390	5800
189	392	5800
190	394	5798
191	396	5796
192	398	5793
193	400	5791
194	402	5788
195	404	5786
196	407	5795
197	409	5801
198	412	5810
199	415	5817
200	419	5843
201	422	5852
202	425	5866
203	429	5885
204	431	5884
205	433	5880
206	435	5878
207	437	5875
208	440	5876
209	442	5873
210	444	5871
211	446	5870
212	448	5867
213	450	5863
214	451	5854
215	454	5851
216	456	5852
217	458	5849
218	460	5847
219	462	5845
220	464	5842
221	466	5839
222	468	5836
