iter	RMSE
0	1708.432671
1	1706.569436
2	1704.65473
3	1702.830158
4	1700.904257
5	1699.081507
6	1697.261125
7	1695.561847
8	1693.786564
9	1692.313995
10	1690.55391
11	1688.91318
12	1687.046487
13	1685.173521
14	1683.307517
15	1681.457165
16	1679.578266
17	1678.022652
18	1676.405563
19	1674.636842
20	1672.882794
21	1671.080681
22	1669.330812
23	1667.608059
24	1665.869191
25	1664.140215
26	1662.565592
27	1660.861765
28	1659.267737
29	1657.493883
30	1655.801949
31	1654.233149
32	1652.821826
33	1651.119005
34	1649.436459
35	1647.917614
36	1646.153185
37	1644.494603
38	1642.981488
39	1641.334939
40	1639.586591
41	1637.832443
42	1636.098293
43	1634.759257
44	1633.016329
45	1631.558503
46	1629.937796
47	1628.301887
48	1626.689287
49	1625.170613
50	1623.605531
51	1622.043603
52	1620.358275
53	1618.89188
54	1617.251906
55	1615.573837
56	1613.890156
57	1612.442784
58	1610.875959
59	1609.26132
60	1607.805021
61	1606.136099
62	1604.50104
63	1603.056284
64	1601.484825
65	1599.925343
66	1598.285116
67	1596.721109
68	1595.222232
69	1593.688372
70	1592.133023
71	1590.607884
72	1589.003426
73	1587.467045
74	1585.868461
75	1584.355742
76	1582.853775
77	1581.289432
78	1579.710148
79	1578.239389
80	1576.779809
81	1575.294005
82	1573.717436
83	1572.239897
84	1570.784804
85	1569.317699
86	1568.043303
87	1566.560826
88	1565.239346
89	1563.787206
90	1562.400804
91	1560.881447
92	1559.447427
93	1557.932891
94	1556.420866
95	1555.107291
96	1553.610321
97	1552.110236
98	1550.630677
99	1549.461817
100	1548.008975
101	1546.529608
102	1545.157483
103	1543.882335
104	1542.452364
105	1541.077968
106	1539.824464
107	1538.552064
108	1537.140885
109	1535.754775
110	1534.405244
111	1533.316085
112	1531.986613
113	1530.548907
114	1529.201359
115	1527.804123
116	1526.573498
117	1525.161315
118	1523.752126
119	1522.536739
120	1521.167636
121	1519.832988
122	1518.529309
123	1517.135166
124	1515.804305
125	1514.525541
126	1513.201965
127	1511.889857
128	1510.717523
129	1509.348068
130	1507.982557
131	1506.78815
132	1505.508364
133	1504.190376
134	1502.86878
135	1501.517789
136	1500.187549
137	1498.935568
138	1497.625222
139	1496.393006
140	1495.155483
141	1493.8186
142	1492.571156
143	1491.334462
144	1490.026758
145	1488.880263
146	1487.564001
147	1486.269485
148	1485.021849
149	1483.758249
150	1482.532608
151	1481.29362
152	1480.053699
153	1478.825984
154	1477.619166
155	1476.400983
156	1475.229269
157	1473.958429
158	1472.881115
159	1471.786478
160	1470.563413
161	1469.374987
162	1468.163384
163	1466.914569
164	1465.747936
165	1464.570432
166	1463.507516
167	1462.338046
168	1461.103643
169	1460.058181
170	1459.177911
171	1458.127688
172	1456.949548
173	1455.774334
174	1454.543878
175	1453.329162
176	1452.192417
177	1451.086035
178	1449.872014
179	1448.714739
180	1447.516788
181	1446.379333
182	1445.202986
183	1444.079337
184	1442.932778
185	1441.738805
186	1440.653772
187	1439.473878
188	1438.37435
189	1437.276852
190	1436.183777
191	1435.211758
192	1434.058577
193	1432.949765
194	1431.899425
195	1430.794076
196	1429.810146
197	1428.727468
198	1427.696514
199	1426.623428
200	1425.568795
201	1424.526018
202	1423.462575
203	1422.404081
204	1421.353963
205	1420.392649
206	1419.339505
207	1418.242957
208	1417.211658
209	1416.174006
210	1415.113443
211	1414.091182
212	1413.085012
213	1412.060015
214	1411.009746
215	1409.995683
216	1408.981332
217	1408.000303
218	1406.96715
219	1405.881624
220	1404.805723
221	1403.784918
222	1402.707877
223	1401.705755
224	1400.7113
225	1399.736548
226	1398.718621
227	1397.728289
228	1396.717276
229	1395.722613
230	1394.711061
231	1393.754272
232	1392.756432
233	1391.797188
234	1390.845509
235	1389.818456
236	1388.94809
237	1387.968904
238	1386.942706
239	1385.922791
240	1384.990455
241	1383.96997
242	1383.035238
243	1382.152539
244	1381.219574
245	1380.416975
246	1379.589397
247	1378.676396
248	1377.717962
249	1376.803182
250	1375.900773
251	1374.949762
252	1374.009208
253	1373.112371
254	1372.203498
255	1371.282247
256	1370.365159
257	1369.468794
258	1368.543799
259	1367.569165
260	1366.673602
261	1365.785208
262	1364.86832
263	1363.981575
264	1363.104417
265	1362.194527
266	1361.249276
267	1360.296055
268	1359.431878
269	1358.49528
270	1357.595884
271	1356.742547
272	1355.927368
273	1355.065628
274	1354.189243
275	1353.313427
276	1352.549263
277	1351.632896
278	1350.793294
279	1349.941725
280	1349.109484
281	1348.262748
282	1347.436586
283	1346.658078
284	1346.022852
285	1345.177574
286	1344.315981
287	1343.501103
288	1342.653856
289	1341.763073
290	1340.98737
291	1340.268981
292	1339.469599
293	1338.698136
294	1337.872792
295	1337.071852
296	1336.342717
297	1335.486773
298	1334.806019
299	1333.951599
300	1333.244714
301	1332.411059
302	1331.706857
303	1330.859342
304	1330.076869
305	1329.373479
306	1328.5839
307	1327.805518
308	1327.009067
309	1326.24091
310	1325.445861
311	1324.622512
312	1323.792363
313	1323.10619
314	1322.327142
315	1321.500526
316	1320.673679
317	1319.99266
318	1319.284183
319	1318.522553
320	1317.746692
321	1316.973484
322	1316.173287
323	1315.400311
324	1314.652118
325	1313.869562
326	1313.130433
327	1312.33929
328	1311.547176
329	1310.794899
330	1310.17134
331	1309.460354
332	1308.713273
333	1307.95858
334	1307.328733
335	1306.602055
336	1305.865156
337	1305.160352
338	1304.447922
339	1303.731133
340	1303.069617
341	1302.417211
342	1301.695334
343	1300.964611
344	1300.243429
345	1299.492334
346	1298.782324
347	1298.145438
348	1297.627333
