iter	Passed	Remaining
0	7	22785
1	15	23585
2	22	22699
3	29	22295
4	36	21654
5	43	21659
6	49	20961
7	53	19926
8	58	19600
9	62	18760
10	68	18552
11	73	18344
12	79	18228
13	84	18025
14	89	17838
15	95	17732
16	100	17611
17	105	17485
18	111	17431
19	116	17426
20	122	17367
21	128	17332
22	133	17304
23	139	17304
24	145	17276
25	150	17245
26	156	17252
27	162	17250
28	167	17119
29	172	17105
30	178	17070
31	182	16963
32	187	16852
33	193	16861
34	199	16888
35	204	16796
36	209	16785
37	215	16766
38	220	16746
39	226	16743
40	231	16738
41	237	16738
42	243	16742
43	246	16590
44	252	16586
45	258	16581
46	263	16578
47	269	16578
48	275	16575
49	280	16567
50	286	16558
51	291	16553
52	297	16533
53	303	16530
54	308	16521
55	314	16523
56	320	16529
57	325	16508
58	331	16506
59	336	16501
60	341	16434
61	346	16422
62	352	16430
63	358	16430
64	364	16441
65	369	16431
66	375	16419
67	380	16408
68	386	16416
69	391	16405
70	397	16397
71	403	16391
72	408	16382
73	414	16391
74	420	16382
75	425	16375
76	431	16369
77	436	16360
78	442	16361
79	448	16361
80	453	16350
81	459	16344
82	464	16339
83	470	16330
84	476	16334
85	482	16333
86	486	16300
87	492	16292
88	497	16260
89	502	16255
90	508	16249
91	514	16249
92	519	16240
93	524	16227
94	530	16226
95	536	16217
96	541	16206
97	547	16213
98	553	16207
99	557	16172
100	563	16171
101	569	16167
102	574	16162
103	579	16131
104	584	16126
105	590	16125
106	596	16127
107	602	16126
108	607	16119
109	613	16118
110	619	16111
111	622	16058
112	628	16054
113	634	16050
114	639	16047
115	645	16051
116	651	16050
117	656	16044
118	662	16045
119	668	16041
120	673	16035
121	679	16027
122	684	16007
123	689	16001
124	695	15989
125	700	15982
126	706	15983
127	712	15977
128	716	15949
129	722	15944
130	727	15938
131	732	15910
132	738	15910
133	744	15913
134	749	15912
135	755	15909
136	761	15909
137	766	15904
138	772	15899
139	777	15888
140	782	15869
141	788	15865
142	793	15858
143	799	15852
144	805	15851
145	810	15840
146	815	15836
147	821	15835
148	827	15831
149	832	15822
150	838	15819
151	843	15813
152	849	15808
153	855	15805
154	860	15801
155	866	15803
156	872	15804
157	878	15796
158	883	15788
159	889	15780
160	894	15772
161	899	15764
162	905	15753
163	910	15748
164	916	15745
165	921	15739
166	927	15733
167	932	15724
168	937	15698
169	942	15694
170	946	15656
171	951	15643
172	956	15637
173	962	15634
174	968	15630
175	974	15629
176	979	15622
177	985	15619
178	990	15615
179	996	15608
180	1002	15606
181	1007	15601
182	1013	15596
183	1018	15594
184	1024	15588
185	1030	15584
186	1035	15578
187	1041	15570
188	1046	15566
189	1052	15562
190	1057	15554
191	1063	15551
192	1069	15547
193	1074	15541
194	1080	15535
195	1085	15528
196	1090	15522
197	1096	15522
198	1102	15514
199	1108	15512
200	1113	15509
201	1119	15505
202	1125	15502
203	1130	15500
204	1136	15493
205	1140	15472
206	1146	15467
207	1151	15461
208	1156	15440
209	1162	15439
210	1167	15434
211	1173	15430
212	1178	15425
213	1184	15423
214	1190	15419
215	1196	15415
216	1201	15410
217	1207	15403
218	1212	15402
219	1220	15419
220	1227	15440
221	1233	15435
222	1239	15432
223	1244	15428
224	1250	15421
225	1255	15415
226	1261	15414
227	1267	15406
228	1273	15407
229	1278	15401
230	1284	15394
231	1289	15388
232	1295	15381
233	1300	15374
234	1306	15368
235	1311	15362
236	1317	15354
237	1322	15351
238	1328	15345
239	1333	15338
240	1339	15330
241	1344	15326
242	1350	15321
243	1356	15318
244	1361	15313
245	1366	15295
246	1371	15289
247	1377	15283
248	1382	15278
249	1388	15271
250	1394	15268
251	1399	15260
252	1404	15254
253	1410	15247
254	1416	15244
255	1421	15239
256	1427	15234
257	1433	15234
258	1439	15232
259	1444	15225
260	1450	15222
261	1456	15215
262	1461	15209
263	1467	15204
264	1472	15201
265	1478	15194
266	1483	15189
267	1489	15183
268	1494	15176
269	1500	15174
270	1506	15167
271	1511	15160
272	1517	15158
273	1523	15153
274	1528	15145
275	1534	15140
276	1539	15134
277	1544	15127
278	1550	15124
279	1556	15118
280	1561	15112
281	1567	15106
282	1572	15099
283	1578	15096
284	1582	15073
285	1588	15069
286	1593	15064
287	1599	15058
288	1604	15053
289	1610	15048
290	1615	15043
291	1621	15037
292	1626	15031
293	1632	15025
294	1638	15020
295	1643	15016
296	1649	15014
297	1655	15008
298	1661	15006
299	1666	14999
300	1671	14985
301	1676	14979
302	1682	14974
303	1688	14970
304	1693	14967
305	1699	14963
306	1705	14956
307	1710	14953
308	1716	14946
309	1721	14940
310	1727	14936
311	1733	14931
312	1738	14923
313	1743	14918
314	1749	14912
315	1754	14905
316	1760	14900
317	1764	14885
318	1770	14880
319	1776	14876
320	1782	14872
321	1787	14867
322	1793	14862
323	1798	14857
324	1804	14852
325	1810	14849
326	1817	14853
327	1822	14848
328	1828	14845
329	1834	14839
330	1839	14836
331	1845	14829
332	1851	14826
333	1856	14821
334	1862	14817
335	1868	14813
336	1874	14810
337	1879	14803
338	1885	14799
339	1890	14792
340	1896	14786
341	1901	14780
342	1907	14773
343	1912	14768
344	1918	14762
345	1923	14756
346	1929	14749
347	1934	14743
348	1938	14724
349	1944	14720
350	1949	14715
351	1955	14709
352	1959	14689
353	1964	14684
354	1970	14682
355	1976	14676
356	1981	14669
357	1987	14665
358	1992	14660
359	1998	14656
360	2004	14649
361	2009	14644
362	2015	14640
363	2021	14636
364	2025	14622
365	2030	14612
366	2034	14597
367	2039	14589
368	2045	14583
369	2051	14579
370	2056	14572
371	2061	14566
372	2067	14562
373	2073	14557
374	2077	14544
375	2083	14540
376	2089	14535
377	2094	14529
378	2100	14525
379	2105	14518
380	2111	14512
381	2116	14507
382	2121	14493
383	2126	14488
384	2132	14484
385	2138	14478
386	2143	14473
387	2149	14468
388	2154	14461
389	2160	14455
390	2165	14450
391	2171	14445
392	2176	14439
393	2182	14433
394	2187	14428
395	2193	14426
396	2199	14418
397	2204	14414
398	2210	14408
399	2216	14404
400	2221	14398
401	2227	14394
402	2232	14388
403	2238	14384
404	2244	14381
405	2250	14376
406	2255	14372
407	2261	14369
408	2267	14364
409	2273	14358
410	2278	14355
411	2284	14349
412	2289	14342
413	2295	14338
414	2301	14333
415	2306	14326
416	2311	14320
417	2317	14317
418	2323	14312
419	2329	14307
420	2334	14303
421	2340	14299
422	2346	14294
423	2351	14289
424	2358	14287
425	2363	14282
426	2369	14277
427	2375	14273
428	2380	14266
429	2385	14259
430	2391	14256
431	2396	14245
432	2402	14241
433	2408	14237
434	2413	14232
435	2419	14226
436	2424	14220
437	2430	14215
438	2435	14209
439	2441	14205
440	2447	14200
441	2452	14194
442	2458	14189
443	2464	14185
444	2469	14180
445	2475	14175
446	2481	14172
447	2486	14166
448	2492	14159
449	2497	14154
450	2503	14151
451	2509	14146
452	2513	14134
453	2519	14128
454	2525	14124
455	2530	14118
456	2536	14114
457	2542	14109
458	2547	14103
459	2553	14100
460	2559	14095
461	2564	14090
462	2570	14086
463	2576	14080
464	2580	14068
465	2584	14053
466	2589	14047
467	2595	14041
468	2601	14036
469	2606	14031
470	2612	14025
471	2617	14020
472	2623	14015
473	2629	14012
474	2634	14006
475	2640	14000
476	2646	13996
477	2650	13985
478	2656	13979
479	2661	13974
480	2667	13970
481	2673	13964
482	2678	13958
483	2683	13952
484	2688	13941
485	2694	13936
486	2700	13932
487	2705	13927
488	2710	13917
489	2716	13913
490	2721	13907
491	2727	13904
492	2733	13898
493	2738	13891
494	2744	13887
495	2749	13882
496	2755	13877
497	2761	13872
498	2766	13866
499	2772	13861
500	2778	13856
501	2783	13851
502	2790	13850
503	2795	13846
504	2801	13842
505	2806	13831
506	2811	13826
507	2817	13819
508	2822	13814
509	2828	13809
510	2834	13804
511	2839	13799
512	2845	13794
513	2851	13789
514	2856	13783
515	2862	13779
516	2868	13774
517	2873	13770
518	2879	13763
519	2884	13757
520	2890	13752
521	2895	13746
522	2901	13741
523	2906	13735
524	2912	13731
525	2918	13726
526	2924	13722
527	2929	13717
528	2935	13712
529	2941	13707
530	2946	13702
531	2952	13696
532	2958	13691
533	2963	13686
534	2969	13680
535	2974	13675
536	2980	13670
537	2985	13664
538	2991	13659
539	2997	13654
540	3002	13648
541	3008	13642
542	3013	13637
543	3019	13632
544	3025	13627
545	3030	13622
546	3036	13617
547	3042	13611
548	3048	13608
549	3053	13603
550	3059	13597
551	3064	13591
552	3070	13587
553	3076	13582
554	3081	13576
555	3087	13572
556	3093	13566
557	3098	13557
558	3102	13549
559	3108	13544
560	3114	13539
561	3120	13534
562	3125	13530
563	3131	13525
564	3137	13521
565	3142	13515
566	3148	13511
567	3154	13506
568	3160	13500
569	3165	13496
570	3171	13491
571	3177	13486
572	3182	13481
573	3188	13476
574	3194	13470
575	3199	13466
576	3205	13461
577	3211	13456
578	3217	13453
579	3222	13447
580	3228	13442
581	3234	13438
582	3240	13434
583	3245	13428
584	3251	13422
585	3257	13417
586	3262	13412
587	3268	13407
588	3273	13401
589	3279	13395
590	3284	13390
591	3290	13385
592	3296	13379
593	3301	13374
594	3307	13369
595	3313	13365
596	3318	13359
597	3324	13353
598	3329	13346
599	3335	13340
600	3340	13335
601	3346	13330
602	3352	13326
603	3358	13321
604	3363	13316
605	3369	13311
606	3375	13306
607	3380	13301
608	3386	13296
609	3392	13291
610	3397	13285
611	3403	13280
612	3409	13277
613	3415	13271
614	3421	13267
615	3427	13263
616	3432	13257
617	3438	13252
618	3443	13246
619	3449	13241
620	3455	13236
621	3461	13232
622	3466	13225
623	3472	13220
624	3477	13215
625	3483	13209
626	3488	13203
627	3494	13197
628	3499	13191
629	3505	13187
630	3511	13181
631	3516	13175
632	3522	13171
633	3527	13165
634	3533	13159
635	3538	13154
636	3544	13148
637	3550	13143
638	3555	13138
639	3561	13132
640	3567	13127
641	3572	13122
642	3578	13116
643	3584	13111
644	3589	13106
645	3595	13101
646	3601	13096
647	3606	13090
648	3612	13085
649	3617	13079
650	3623	13075
651	3629	13069
652	3634	13063
653	3640	13057
654	3645	13051
655	3651	13046
656	3656	13041
657	3662	13035
658	3668	13030
659	3673	13024
660	3678	13018
661	3684	13012
662	3690	13007
663	3695	13001
664	3701	12996
665	3706	12988
666	3711	12982
667	3717	12977
668	3722	12971
669	3728	12966
670	3734	12961
671	3739	12956
672	3745	12951
673	3751	12945
674	3756	12940
675	3762	12936
676	3768	12930
677	3773	12924
678	3779	12918
679	3784	12913
680	3790	12908
681	3795	12901
682	3801	12896
683	3807	12890
684	3812	12885
685	3817	12878
686	3821	12864
687	3824	12851
688	3827	12837
689	3830	12824
